ssp,indiv,PitFraction,parasitism
Psittacanthus robustus,Psittacanthus robustus 2,78.425,Parasite
Psittacanthus robustus,Psittacanthus robustus 2,62.526,Parasite
Psittacanthus robustus,Psittacanthus robustus 2,62.33,Parasite
Psittacanthus robustus,Psittacanthus robustus 2,71.404,Parasite
Psittacanthus robustus,Psittacanthus robustus 3,78.976,Parasite
Psittacanthus robustus,Psittacanthus robustus 3,70.793,Parasite
Psittacanthus robustus,Psittacanthus robustus 3,66.07,Parasite
Psittacanthus robustus,Psittacanthus robustus 3,75.407,Parasite
Psittacanthus robustus,Psittacanthus robustus 3,89.484,Parasite
Psittacanthus robustus,Psittacanthus robustus 3,73.799,Parasite
Psittacanthus robustus,Psittacanthus robustus 3,82.317,Parasite
Psittacanthus robustus,Psittacanthus robustus 3,66.164,Parasite
Psittacanthus robustus,Psittacanthus robustus 3,81.95,Parasite
Psittacanthus robustus,Psittacanthus robustus 3,74.561,Parasite
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 1,69.346,Parasite
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 1,64.464,Parasite
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 1,59.178,Parasite
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 1,60.78,Parasite
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 1,59.639,Parasite
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 1,68.943,Parasite
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 1,57.012,Parasite
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 1,62.365,Parasite
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 1,62.02,Parasite
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 1,55.266,Parasite
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 2,63.788,Parasite
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 2,41.497,Parasite
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 2,62.555,Parasite
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 2,55.647,Parasite
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 2,42.778,Parasite
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 2,56.947,Parasite
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 2,52.299,Parasite
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 2,57.418,Parasite
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 2,45.211,Parasite
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 2,75.071,Parasite
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 3,53.842,Parasite
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 3,63.941,Parasite
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 3,43.475,Parasite
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 3,33.896,Parasite
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 3,41.811,Parasite
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 3,60.895,Parasite
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 3,54.216,Parasite
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 3,64.043,Parasite
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 3,51.319,Parasite
Tapirira guianensis,Tapirira guianensis 1,79.201,Host
Tapirira guianensis,Tapirira guianensis 1,80,Host
Tapirira guianensis,Tapirira guianensis 1,78.267,Host
Tapirira guianensis,Tapirira guianensis 1,75.169,Host
Tapirira guianensis,Tapirira guianensis 1,77.465,Host
Tapirira guianensis,Tapirira guianensis 1,77.895,Host
Tapirira guianensis,Tapirira guianensis 1,81.762,Host
Tapirira guianensis,Tapirira guianensis 1,80.079,Host
Tapirira guianensis,Tapirira guianensis 1,80.606,Host
Tapirira guianensis,Tapirira guianensis 1,77.983,Host
Tapirira guianensis,Tapirira guianensis 1,79,Host
Tapirira guianensis,Tapirira guianensis 2,68.95,Host
Tapirira guianensis,Tapirira guianensis 2,66.003,Host
Tapirira guianensis,Tapirira guianensis 2,74.826,Host
Tapirira guianensis,Tapirira guianensis 2,61.83,Host
Tapirira guianensis,Tapirira guianensis 2,60.35,Host
Tapirira guianensis,Tapirira guianensis 2,66.678,Host
Tapirira guianensis,Tapirira guianensis 2,54.625,Host
Tapirira guianensis,Tapirira guianensis 2,41.159,Host
Tapirira guianensis,Tapirira guianensis 2,66.405,Host
Tapirira guianensis,Tapirira guianensis 2,65.836,Host
Tapirira guianensis,Tapirira guianensis 2,62.24,Host
Tapirira guianensis,Tapirira guianensis 3,77.09,Host
Tapirira guianensis,Tapirira guianensis 3,70.785,Host
Tapirira guianensis,Tapirira guianensis 3,73.94,Host
Tapirira guianensis,Tapirira guianensis 3,68.776,Host
Tapirira guianensis,Tapirira guianensis 3,65.079,Host
Tapirira guianensis,Tapirira guianensis 3,65.545,Host
Tapirira guianensis,Tapirira guianensis 3,77.353,Host
Tapirira guianensis,Tapirira guianensis 3,74.071,Host
Tapirira guianensis,Tapirira guianensis 3,71.887,Host
Tapirira guianensis,Tapirira guianensis 3,64.369,Host
Tapirira guianensis,Tapirira guianensis 3,74.763,Host
Tipuana tipu,Tipuana tipu 1,74.856,Host
Tipuana tipu,Tipuana tipu 1,60.386,Host
Tipuana tipu,Tipuana tipu 1,73.311,Host
Tipuana tipu,Tipuana tipu 1,72.132,Host
Tipuana tipu,Tipuana tipu 1,76.761,Host
Tipuana tipu,Tipuana tipu 1,76.367,Host
Tipuana tipu,Tipuana tipu 1,73.032,Host
Tipuana tipu,Tipuana tipu 1,68.413,Host
Tipuana tipu,Tipuana tipu 1,70.755,Host
Tipuana tipu,Tipuana tipu 1,73.38,Host
Tipuana tipu,Tipuana tipu 2,72.371,Host
Tipuana tipu,Tipuana tipu 2,68.839,Host
Tipuana tipu,Tipuana tipu 2,66.289,Host
Tipuana tipu,Tipuana tipu 2,70.319,Host
Tipuana tipu,Tipuana tipu 2,68.912,Host
Tipuana tipu,Tipuana tipu 2,70.452,Host
Tipuana tipu,Tipuana tipu 2,70.575,Host
Tipuana tipu,Tipuana tipu 2,74.032,Host
Tipuana tipu,Tipuana tipu 2,64.362,Host
Tipuana tipu,Tipuana tipu 2,70.989,Host
Tipuana tipu,Tipuana tipu 3,61.167,Host
Tipuana tipu,Tipuana tipu 3,62.192,Host
Tipuana tipu,Tipuana tipu 3,46.187,Host
Tipuana tipu,Tipuana tipu 3,71.398,Host
Tipuana tipu,Tipuana tipu 3,74.033,Host
Tipuana tipu,Tipuana tipu 3,68.747,Host
Tipuana tipu,Tipuana tipu 3,62.542,Host
Tipuana tipu,Tipuana tipu 3,32.038,Host
Tipuana tipu,Tipuana tipu 3,52.514,Host
Tipuana tipu,Tipuana tipu 3,61.358,Host
Viscum album,Viscum album 1,31.661,Parasite
Viscum album,Viscum album 1,31.381,Parasite
Viscum album,Viscum album 1,35.058,Parasite
Viscum album,Viscum album 1,39.28,Parasite
Viscum album,Viscum album 1,34.564,Parasite
Viscum album,Viscum album 1,32.538,Parasite
Viscum album,Viscum album 1,41.036,Parasite
Viscum album,Viscum album 1,56.116,Parasite
Viscum album,Viscum album 1,47.427,Parasite
Viscum album,Viscum album 1,36.74,Parasite
Viscum album,Viscum album 2,21.125,Parasite
Viscum album,Viscum album 2,27.987,Parasite
Viscum album,Viscum album 2,27.656,Parasite
Viscum album,Viscum album 2,25.398,Parasite
Viscum album,Viscum album 2,28.417,Parasite
Viscum album,Viscum album 2,31.963,Parasite
Viscum album,Viscum album 2,32.166,Parasite
Viscum album,Viscum album 2,32.449,Parasite
Viscum album,Viscum album 2,24.793,Parasite
Viscum album,Viscum album 2,24.332,Parasite
Viscum album,Viscum album 2,36.824,Parasite
Viscum album,Viscum album 3,26.699,Parasite
Viscum album,Viscum album 3,23.431,Parasite
Viscum album,Viscum album 3,21.234,Parasite
Viscum album,Viscum album 3,21.751,Parasite
Viscum album,Viscum album 3,22.758,Parasite
Viscum album,Viscum album 3,32.102,Parasite
Viscum album,Viscum album 3,24.279,Parasite
Viscum album,Viscum album 3,26.936,Parasite
Viscum album,Viscum album 3,24.082,Parasite
Viscum album,Viscum album 3,30.602,Parasite
Vochysia thyrsoidea,Vochysia thyrsoidea 1,35.232,Host
Vochysia thyrsoidea,Vochysia thyrsoidea 1,65.026,Host
Vochysia thyrsoidea,Vochysia thyrsoidea 1,59.631,Host
Vochysia thyrsoidea,Vochysia thyrsoidea 1,53.995,Host
Vochysia thyrsoidea,Vochysia thyrsoidea 1,55.875,Host
Vochysia thyrsoidea,Vochysia thyrsoidea 1,68.246,Host
Vochysia thyrsoidea,Vochysia thyrsoidea 1,75.358,Host
Vochysia thyrsoidea,Vochysia thyrsoidea 1,67.763,Host
Vochysia thyrsoidea,Vochysia thyrsoidea 1,65.944,Host
Vochysia thyrsoidea,Vochysia thyrsoidea 1,55.948,Host
Vochysia thyrsoidea,Vochysia thyrsoidea 1,49.48,Host
Vochysia thyrsoidea,Vochysia thyrsoidea 2,58.251,Host
Vochysia thyrsoidea,Vochysia thyrsoidea 2,53.815,Host
Vochysia thyrsoidea,Vochysia thyrsoidea 2,64.276,Host
Vochysia thyrsoidea,Vochysia thyrsoidea 2,55.777,Host
Vochysia thyrsoidea,Vochysia thyrsoidea 2,55.835,Host
Vochysia thyrsoidea,Vochysia thyrsoidea 2,58.222,Host
Vochysia thyrsoidea,Vochysia thyrsoidea 2,46.26,Host
Vochysia thyrsoidea,Vochysia thyrsoidea 2,65.728,Host
Vochysia thyrsoidea,Vochysia thyrsoidea 2,70.336,Host
Vochysia thyrsoidea,Vochysia thyrsoidea 2,54.558,Host
Vochysia thyrsoidea,Vochysia thyrsoidea 2,73.944,Host
Vochysia thyrsoidea,Vochysia thyrsoidea 3,70.025,Host
Vochysia thyrsoidea,Vochysia thyrsoidea 3,77.274,Host
Vochysia thyrsoidea,Vochysia thyrsoidea 3,76.793,Host
Vochysia thyrsoidea,Vochysia thyrsoidea 3,75.005,Host
Vochysia thyrsoidea,Vochysia thyrsoidea 3,57.756,Host
Vochysia thyrsoidea,Vochysia thyrsoidea 3,64.882,Host
Vochysia thyrsoidea,Vochysia thyrsoidea 3,71.249,Host
Vochysia thyrsoidea,Vochysia thyrsoidea 3,47.416,Host
Vochysia thyrsoidea,Vochysia thyrsoidea 3,61.041,Host
Vochysia thyrsoidea,Vochysia thyrsoidea 3,74.37,Host
Vochysia thyrsoidea,Vochysia thyrsoidea 3,62.026,Host
Populus nigra,Populus nigra 1,69.864,Host
Populus nigra,Populus nigra 1,65.689,Host
Populus nigra,Populus nigra 1,73.401,Host
Populus nigra,Populus nigra 1,71.249,Host
Populus nigra,Populus nigra 1,66.392,Host
Populus nigra,Populus nigra 1,68.638,Host
Populus nigra,Populus nigra 1,70.343,Host
Populus nigra,Populus nigra 1,70.57,Host
Populus nigra,Populus nigra 1,71.084,Host
Populus nigra,Populus nigra 1,72.057,Host
Populus nigra,Populus nigra 1,66.348,Host
Populus nigra,Populus nigra 1,70.665,Host
Populus nigra,Populus nigra 1,65.512,Host
Populus nigra,Populus nigra 2,75.109,Host
Populus nigra,Populus nigra 2,79.248,Host
Populus nigra,Populus nigra 2,75.109,Host
Populus nigra,Populus nigra 2,75.525,Host
Populus nigra,Populus nigra 2,70.757,Host
Populus nigra,Populus nigra 2,74.123,Host
Populus nigra,Populus nigra 2,70.372,Host
Populus nigra,Populus nigra 2,77.184,Host
Populus nigra,Populus nigra 2,69.885,Host
Populus nigra,Populus nigra 2,73.437,Host
Populus nigra,Populus nigra 3,73.645,Host
Populus nigra,Populus nigra 3,67.7,Host
Populus nigra,Populus nigra 3,70.516,Host
Populus nigra,Populus nigra 3,75.781,Host
Populus nigra,Populus nigra 3,78.692,Host
Populus nigra,Populus nigra 3,72.408,Host
Populus nigra,Populus nigra 3,75.851,Host
Populus nigra,Populus nigra 3,75.657,Host
Populus nigra,Populus nigra 3,75.019,Host
Populus nigra,Populus nigra 3,78.478,Host
Populus nigra,Populus nigra 3,68.352,Host
Populus nigra,Populus nigra 3,73.122,Host
