ssp;label;pic;Count;Total Area;Average Size;%Area;Circ.;Solidity
Struthanthus rhynchophyllus;Struthanthus rhynchophyllus 1;Struthanthus rhynchophyllus - VSB25 x10 007-1.tif;62;36239.75;584.512;7.691;0.851;0.962
Struthanthus rhynchophyllus;Struthanthus rhynchophyllus 1;Struthanthus rhynchophyllus - VSB25 x10 008-1.tif;71;34.295.942;483.041;7.278;0.793;0.95
Struthanthus rhynchophyllus;Struthanthus rhynchophyllus 1;Struthanthus rhynchophyllus - VSB25 x10 009-1.tif;65;38707.18;595.495;8.214;0.793;0.95
Struthanthus rhynchophyllus;Struthanthus rhynchophyllus 1;Struthanthus rhynchophyllus - VSB25 x10 010-1.tif;62;27.312.799;440.529;5.796;0.759;0.937
Struthanthus rhynchophyllus;Struthanthus rhynchophyllus 1;Struthanthus rhynchophyllus - VSB25 x10 001-1.tif;52;28.658.897;551.133;6.082;0.839;0.956
Struthanthus rhynchophyllus;Struthanthus rhynchophyllus 1;Struthanthus rhynchophyllus - VSB25 x10 002-1.tif;53;30.499.896;575.47;6.473;0.795;0.944
Struthanthus rhynchophyllus;Struthanthus rhynchophyllus 1;Struthanthus rhynchophyllus - VSB25 x10 003-1.tif;55;30214.36;549.352;6.412;0.85;0.961
Struthanthus rhynchophyllus;Struthanthus rhynchophyllus 1;Struthanthus rhynchophyllus - VSB25 x10 004-1.tif;75;31.749.428;423.326;6.738;0.771;0.91
Struthanthus rhynchophyllus;Struthanthus rhynchophyllus 1;Struthanthus rhynchophyllus - VSB25 x10 005-1.tif;44;23657.44;537.669;5.02;0.834;0.947
Struthanthus rhynchophyllus;Struthanthus rhynchophyllus 2;Struthanthus rhynchophyllus - VSB26 x10 001-1.tif;87;40.346.306;463.751;8.562;0.806;0.942
Struthanthus rhynchophyllus;Struthanthus rhynchophyllus 2;Struthanthus rhynchophyllus - VSB26 x10 002-1.tif;106;41.446.826;391.008;8.796;0.817;0.939
Struthanthus rhynchophyllus;Struthanthus rhynchophyllus 2;Struthanthus rhynchophyllus - VSB26 x10 003-1.tif;96;43.569.199;453.846;9.246;0.792;0.933
Struthanthus rhynchophyllus;Struthanthus rhynchophyllus 2;Struthanthus rhynchophyllus - VSB26 x10 004-1.tif;52;32329.24;621.716;6.861;0.783;0.944
Struthanthus rhynchophyllus;Struthanthus rhynchophyllus 2;Struthanthus rhynchophyllus - VSB26 x10 005-1.tif;66;42300.52;640.917;8.977;0.756;0.922
Struthanthus rhynchophyllus;Struthanthus rhynchophyllus 2;Struthanthus rhynchophyllus - VSB26 x10 006-1.tif;75;34.877.836;465.038;7.402;0.752;0.919
Struthanthus rhynchophyllus;Struthanthus rhynchophyllus 2;Struthanthus rhynchophyllus - VSB26 x10 007-1.tif;87;46521.54;534.73;9.873;0.775;0.94
Struthanthus rhynchophyllus;Struthanthus rhynchophyllus 2;Struthanthus rhynchophyllus - VSB26 x10 008-1.tif;138;43865.14;317.863;9.309;0.693;0.884
Struthanthus rhynchophyllus;Struthanthus rhynchophyllus 2;Struthanthus rhynchophyllus - VSB26 x10 009-1.tif;101;48.951.093;484.664;10.388;0.789;0.943
Struthanthus rhynchophyllus;Struthanthus rhynchophyllus 2;Struthanthus rhynchophyllus - VSB26 x10 011-1.tif;76;26339.23;346.569;5.59;0.59;0.833
Struthanthus rhynchophyllus;Struthanthus rhynchophyllus 3;Struthanthus rhynchophyllus - VSB27 x10 006-1.tif;76;29.270.455;385.138;6.212;0.633;0.885
Struthanthus rhynchophyllus;Struthanthus rhynchophyllus 3;Struthanthus rhynchophyllus - VSB27 x10 007-1.tif;68;32.912.873;484.013;6.985;0.689;0.915
