ssp,indiv,Label,Area,Circ.,%Area,AR,Round,Solidity
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 008-1.tif,605.453,0.887,99.863,1.282,0.78,0.973
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 008-1.tif,312.652,0.769,100,1.935,0.517,0.953
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 008-1.tif,417.696,0.784,100,1.714,0.583,0.945
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 008-1.tif,638.124,0.874,99.806,1.291,0.774,0.964
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 008-1.tif,551.276,0.782,99.625,1.433,0.698,0.952
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 008-1.tif,418.11,0.756,99.209,1.495,0.669,0.971
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 006-1.tif,1090.113,0.804,99.885,1.705,0.586,0.977
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 006-1.tif,651.404,0.804,100,1.458,0.686,0.977
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 006-1.tif,1017.272,0.7,98.036,1.985,0.504,0.968
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 006-1.tif,738.813,0.861,99.775,1.17,0.855,0.963
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 006-1.tif,583.558,0.882,98.645,1.25,0.8,0.964
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 006-1.tif,333.819,0.862,99.377,1.342,0.745,0.942
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 006-1.tif,425.806,0.833,99.413,1.112,0.899,0.952
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 006-1.tif,270.967,0.81,99.539,1.541,0.649,0.94
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 006-1.tif,193.132,0.883,100,1.411,0.709,0.949
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 006-1.tif,468.262,0.864,98.489,1.471,0.68,0.962
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 006-1.tif,747.138,0.83,99.61,1.258,0.795,0.967
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 006-1.tif,462.851,0.686,98.291,1.781,0.562,0.948
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 006-1.tif,1222.475,0.893,100,1.143,0.875,0.976
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 006-1.tif,368.782,0.881,99.774,1.104,0.906,0.96
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 006-1.tif,208.949,0.811,100,1.233,0.811,0.953
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 006-1.tif,877.002,0.377,98.719,1.078,0.928,0.876
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 006-1.tif,405.827,0.707,100,1.711,0.584,0.939
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 006-1.tif,586.056,0.859,100,1.335,0.749,0.975
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 006-1.tif,144.016,0.682,100,2.352,0.425,0.909
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 006-1.tif,812.486,0.887,99.18,1.132,0.883,0.968
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 006-1.tif,181.894,0.741,100,2.183,0.458,0.93
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 006-1.tif,573.152,0.651,100,2.556,0.391,0.94
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 006-1.tif,334.651,0.739,100,2.097,0.477,0.953
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 006-1.tif,513.631,0.688,99.757,2.315,0.432,0.947
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 006-1.tif,361.706,0.857,99.655,1.046,0.956,0.95
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 006-1.tif,736.315,0.801,99.378,1.778,0.562,0.967
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 006-1.tif,223.517,0.812,100,1.635,0.612,0.942
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 006-1.tif,1003.121,0.86,100,1.269,0.788,0.968
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 006-1.tif,204.786,0.86,100,1.508,0.663,0.955
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 006-1.tif,198.959,0.804,100,1.605,0.623,0.917
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 006-1.tif,260.562,0.755,97.923,1.781,0.561,0.937
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 006-1.tif,353.798,0.861,98.353,1.453,0.688,0.955
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 006-1.tif,327.159,0.887,100,1.261,0.793,0.959
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 006-1.tif,963.162,0.761,99.611,1.78,0.562,0.972
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 006-1.tif,509.885,0.919,100,1.144,0.874,0.971
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 006-1.tif,619.77,0.659,99.731,2.546,0.393,0.942
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 006-1.tif,432.466,0.809,99.23,1.641,0.609,0.96
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 006-1.tif,296.358,0.849,97.753,1.48,0.676,0.949
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 006-1.tif,380.437,0.905,100,1.35,0.741,0.975
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 006-1.tif,573.985,0.603,96.519,3.005,0.333,0.948
