ssp;label;pic;PitDiameter;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 2;Phoradendeon perrotettii 2 - GC4841 x100 037.tif;25.209;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 2;Phoradendeon perrotettii 2 - GC4841 x100 037.tif;26.736;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 2;Phoradendeon perrotettii 2 - GC4841 x100 037.tif;24.062;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 3;Phoradendron Perrottettii 3- GC4841 x100 031.tif;30.352;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 3;Phoradendron Perrottettii 3- GC4841 x100 031.tif;29.646;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 3;Phoradendron Perrottettii 3- GC4841 x100 031.tif;30.29;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 3;Phoradendron Perrottettii 3- GC4841 x100 031.tif;34.254;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 3;Phoradendron Perrottettii 3- GC4841 x100 031.tif;34.95;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 3;Phoradendron Perrottettii 3- GC4841 x100 031.tif;30.317;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 3;Phoradendron Perrottettii 3- GC4841 x100 031.tif;29.001;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 3;Phoradendron Perrottettii 3- GC4841 x100 031.tif;27.075;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 3;Phoradendron Perrottettii 3- GC4841 x100 031.tif;32.223;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 3;Phoradendron Perrottettii 3- GC4841 x100 031.tif;27.137;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 3;Phoradendron Perrottettii 3- GC4841 x100 032.tif;27.068;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 3;Phoradendron Perrottettii 3- GC4841 x100 032.tif;25.779;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 3;Phoradendron Perrottettii 3- GC4841 x100 032.tif;34.157;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 3;Phoradendron Perrottettii 3- GC4841 x100 032.tif;30.29;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 3;Phoradendron Perrottettii 3- GC4841 x100 032.tif;29.115;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 3;Phoradendron Perrottettii 3- GC4841 x100 032.tif;28.077;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 3;Phoradendron Perrottettii 3- GC4841 x100 032.tif;26.455;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 3;Phoradendron Perrottettii 3- GC4841 x100 032.tif;34.855;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 3;Phoradendron Perrottettii 3- GC4841 x100 032.tif;30.29;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 3;Phoradendron Perrottettii 3- GC4841 x100 032.tif;31.638;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 3;Phoradendron Perrottettii 3- GC4841 x100 032.tif;25.134;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 3;Phoradendron Perrottettii 3- GC4841 x100 032.tif;29.674;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 3;Phoradendron Perrottettii 3- GC4841 x100 032.tif;25.143;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 3;Phoradendron Perrottettii 3- GC4841 x100 032.tif;23.88;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 3;Phoradendron Perrottettii 3- GC4841 x100 033.tif;30.941;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 3;Phoradendron Perrottettii 3- GC4841 x100 033.tif;28.364;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 3;Phoradendron Perrottettii 3- GC4841 x100 033.tif;29.709;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 3;Phoradendron Perrottettii 3- GC4841 x100 033.tif;34.807;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 3;Phoradendron Perrottettii 3- GC4841 x100 033.tif;31.586;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 3;Phoradendron Perrottettii 3- GC4841 x100 033.tif;25.787;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 3;Phoradendron Perrottettii 3- GC4841 x100 033.tif;32.281;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 3;Phoradendron Perrottettii 3- GC4841 x100 034.tif;26.423;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 3;Phoradendron Perrottettii 3- GC4841 x100 034.tif;27.075;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 3;Phoradendron Perrottettii 3- GC4841 x100 034.tif;32.868;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 3;Phoradendron Perrottettii 3- GC4841 x100 034.tif;27.742;;;;;;;;
