ssp;pc1;pc2;pc3;pe1;pe2;pcd;parasitism;;;;;
Populus nigra;0.274;0.214;0.303;0.208;0.192;0.709;h;;;;;
Populus nigra;0.284;0.363;0.422;0.186;0.193;0.381;h;;;;;
Populus nigra;0.234;0.277;0.283;0.211;0.178;0.514;h;;;;;
Populus nigra;0.173;0.194;0.178;0.208;0.173;0.757;h;;;;;
Populus nigra;0.17;0.194;0.192;0.225;0.22;0.585;h;;;;;
Populus nigra;0.22;0.21;0.231;0.164;0.173;0.558;h;;;;;
Populus nigra;0.194;0.202;0.243;0.258;0.181;0.765;h;;;;;
Populus nigra;0.201;0.177;0.189;0.159;0.133;0.918;h;;;;;
Populus nigra;0.192;0.216;0.301;0.188;0.22;0.842;h;;;;;
Populus nigra;0.206;0.219;0.176;0.191;0.213;0.441;h;;;;;
Populus nigra;0.417;0.353;0.379;0.296;0.315;0.598;h;;;;;
Populus nigra;0.167;0.193;0.216;0.205;0.168;0.634;h;;;;;
Populus nigra;0.281;0.266;0.222;0.185;0.234;0.927;h;;;;;
Populus nigra;0.208;0.203;0.276;0.22;0.152;0.716;h;;;;;
Populus nigra;0.266;0.245;0.254;0.265;0.232;0.72;h;;;;;
Populus nigra;0.261;0.304;0.256;0.216;0.248;0.875;h;;;;;
Populus nigra;0.249;0.205;0.228;0.177;0.225;0.634;h;;;;;
Populus nigra;0.195;0.24;0.235;0.203;0.186;0.596;h;;;;;
Populus nigra;0.162;0.161;0.2;0.167;0.165;0.454;h;;;;;
Populus nigra;0.149;0.16;0.162;0.156;0.185;0.514;h;;;;;
Populus nigra;0.207;0.227;0.228;0.223;0.19;0.372;h;;;;;
Populus nigra;;;;;;0.483;h;;;;;
Populus nigra;;;;;;0.84;h;;;;;
Populus nigra;;;;;;0.735;h;;;;;
