ssp,indiv,Label,Count,Total Area,Average Size,%Area,Circ.,Solidity
Vochysia thyrsoidea,Vochysia thyrsoidea 1,Vochysia thyrsoidea 1 - GC 4842 x5 001-1.tif,73,455336.18,6237.48,10.34,0.76,0.94
Vochysia thyrsoidea,Vochysia thyrsoidea 1,Vochysia thyrsoidea 1 - GC 4842 x5 002-1.tif,67,452981.39,6760.92,10.29,0.76,0.95
Vochysia thyrsoidea,Vochysia thyrsoidea 1,Vochysia thyrsoidea 1 - GC 4842 x5 003-1.tif,75,410437.55,5472.50,9.32,0.65,0.88
Vochysia thyrsoidea,Vochysia thyrsoidea 1,Vochysia thyrsoidea 1 - GC 4842 x5 004-1.tif,84,523792.75,6235.63,11.89,0.72,0.94
Vochysia thyrsoidea,Vochysia thyrsoidea 1,Vochysia thyrsoidea 1 - GC 4842 x5 005-1.tif,99,573511.65,5793.05,13.02,0.69,0.92
Vochysia thyrsoidea,Vochysia thyrsoidea 1,Vochysia thyrsoidea 1 - GC 4842 x5 006-1.tif,100,497131.99,4971.32,11.29,0.75,0.94
Vochysia thyrsoidea,Vochysia thyrsoidea 1,Vochysia thyrsoidea 1 - GC 4842 x5 007-1.tif,76,372962.20,4907.40,8.47,0.74,0.94
Vochysia thyrsoidea,Vochysia thyrsoidea 1,Vochysia thyrsoidea 1 - GC 4842 x5 008-1.tif,70,403577.80,5765.40,9.16,0.75,0.94
Vochysia thyrsoidea,Vochysia thyrsoidea 1,Vochysia thyrsoidea 1 - GC 4842 x5 009-1.tif,69,423120.53,6132.18,9.61,0.77,0.95
Vochysia thyrsoidea,Vochysia thyrsoidea 1,Vochysia thyrsoidea 1 - GC 4842 x5 010-1.tif,75,389026.42,5187.02,8.83,0.74,0.94
Vochysia thyrsoidea,Vochysia thyrsoidea 1,Vochysia thyrsoidea 1 - GC 4842 x5 011-1.tif,84,331867.46,3950.80,7.54,0.76,0.94
Vochysia thyrsoidea,Vochysia thyrsoidea 2,Vochysia thyrsoidea 2- GC 4842 x5 001-1.tif,73,396915.97,5437.21,9.01,0.74,0.94
Vochysia thyrsoidea,Vochysia thyrsoidea 2,Vochysia thyrsoidea 2- GC 4842 x5 002-1.tif,81,353322.20,4362.00,8.02,0.72,0.93
Vochysia thyrsoidea,Vochysia thyrsoidea 2,Vochysia thyrsoidea 2- GC 4842 x5 003-1.tif,83,326614.47,3935.11,7.42,0.74,0.93
Vochysia thyrsoidea,Vochysia thyrsoidea 2,Vochysia thyrsoidea 2- GC 4842 x5 004-1.tif,37,201965.01,5458.51,4.59,0.76,0.94
Vochysia thyrsoidea,Vochysia thyrsoidea 2,Vochysia thyrsoidea 2- GC 4842 x5 005-1.tif,53,280863.83,5299.32,6.38,0.75,0.94
Vochysia thyrsoidea,Vochysia thyrsoidea 2,Vochysia thyrsoidea 2- GC 4842 x5 006-1.tif,62,323427.79,5216.58,7.34,0.74,0.93
