indiv,ssp,WallThickness,parasitism
Phoradendron perrotettii 3,Phoradendron perrotettii,3.714425,Parasite
Phoradendron perrotettii 3,Phoradendron perrotettii,3.80094,Parasite
Phoradendron perrotettii 3,Phoradendron perrotettii,3.88674,Parasite
Phoradendron perrotettii 3,Phoradendron perrotettii,3.92964,Parasite
Phoradendron perrotettii 3,Phoradendron perrotettii,3.99113,Parasite
Phoradendron perrotettii 3,Phoradendron perrotettii,4.09552,Parasite
Phoradendron perrotettii 3,Phoradendron perrotettii,4.126265,Parasite
Phoradendron perrotettii 3,Phoradendron perrotettii,4.140565,Parasite
Phoradendron perrotettii 3,Phoradendron perrotettii,4.19991,Parasite
Phoradendron perrotettii 3,Phoradendron perrotettii,4.20992,Parasite
Phoradendron perrotettii 3,Phoradendron perrotettii,4.21564,Parasite
Phoradendron perrotettii 3,Phoradendron perrotettii,4.26998,Parasite
Phoradendron perrotettii 3,Phoradendron perrotettii,4.317885,Parasite
Phoradendron perrotettii 3,Phoradendron perrotettii,4.39153,Parasite
Phoradendron perrotettii 3,Phoradendron perrotettii,4.40297,Parasite
Phoradendron perrotettii 3,Phoradendron perrotettii,4.69755,Parasite
Populus nigra 1,Populus nigra,2.064,Host
Populus nigra 1,Populus nigra,2.246,Host
Populus nigra 1,Populus nigra,2.388,Host
Populus nigra 1,Populus nigra,2.425,Host
Populus nigra 1,Populus nigra,2.535,Host
Populus nigra 1,Populus nigra,2.5485,Host
Populus nigra 1,Populus nigra,2.561,Host
Populus nigra 1,Populus nigra,2.576,Host
Populus nigra 1,Populus nigra,2.5815,Host
Populus nigra 1,Populus nigra,2.5875,Host
Populus nigra 1,Populus nigra,2.6155,Host
Populus nigra 1,Populus nigra,2.6345,Host
Populus nigra 1,Populus nigra,2.677,Host
Populus nigra 1,Populus nigra,2.7005,Host
Populus nigra 1,Populus nigra,2.802,Host
Populus nigra 1,Populus nigra,2.8495,Host
Populus nigra 1,Populus nigra,2.875,Host
Populus nigra 1,Populus nigra,2.8765,Host
Populus nigra 1,Populus nigra,2.9885,Host
Populus nigra 1,Populus nigra,3,Host
Populus nigra 1,Populus nigra,3.0665,Host
Populus nigra 1,Populus nigra,3.1065,Host
Populus nigra 1,Populus nigra,3.1205,Host
Populus nigra 1,Populus nigra,3.1235,Host
Populus nigra 1,Populus nigra,3.2045,Host
Populus nigra 1,Populus nigra,3.279,Host
Populus nigra 1,Populus nigra,3.341,Host
Populus nigra 1,Populus nigra,3.4595,Host
Populus nigra 1,Populus nigra,3.545,Host
Populus nigra 1,Populus nigra,3.718,Host
Populus nigra 2,Populus nigra,0.413,Host
Populus nigra 2,Populus nigra,0.457,Host
Populus nigra 2,Populus nigra,0.493,Host
Populus nigra 2,Populus nigra,0.565,Host
Populus nigra 2,Populus nigra,0.808,Host
Populus nigra 2,Populus nigra,0.813,Host
Populus nigra 2,Populus nigra,0.855,Host
Populus nigra 2,Populus nigra,0.897,Host
Populus nigra 2,Populus nigra,0.902,Host
Populus nigra 2,Populus nigra,0.902,Host
Populus nigra 2,Populus nigra,0.926,Host
Populus nigra 2,Populus nigra,0.935,Host
Populus nigra 2,Populus nigra,0.935,Host
Populus nigra 2,Populus nigra,1.046,Host
Populus nigra 2,Populus nigra,1.05,Host
Populus nigra 2,Populus nigra,1.055,Host
Populus nigra 2,Populus nigra,1.064,Host
Populus nigra 2,Populus nigra,1.088,Host
Populus nigra 2,Populus nigra,1.105,Host
Populus nigra 2,Populus nigra,1.111,Host
Populus nigra 2,Populus nigra,1.124,Host
Populus nigra 2,Populus nigra,1.167,Host
Populus nigra 2,Populus nigra,1.169,Host
Populus nigra 2,Populus nigra,1.218,Host
Populus nigra 2,Populus nigra,1.22,Host
Populus nigra 2,Populus nigra,1.293,Host
Populus nigra 2,Populus nigra,1.3,Host
Populus nigra 2,Populus nigra,1.53,Host
Populus nigra 2,Populus nigra,1.583,Host
Populus nigra 2,Populus nigra,1.971,Host
Populus nigra 3,Populus nigra,0.431,Host
Populus nigra 3,Populus nigra,0.439,Host
Populus nigra 3,Populus nigra,0.483,Host
Populus nigra 3,Populus nigra,0.508,Host
Populus nigra 3,Populus nigra,0.527,Host
Populus nigra 3,Populus nigra,0.625,Host
Populus nigra 3,Populus nigra,0.637,Host
Populus nigra 3,Populus nigra,0.685,Host
Populus nigra 3,Populus nigra,0.696,Host
Populus nigra 3,Populus nigra,0.77,Host
Populus nigra 3,Populus nigra,0.808,Host
Populus nigra 3,Populus nigra,0.837,Host
Populus nigra 3,Populus nigra,0.845,Host
Populus nigra 3,Populus nigra,0.855,Host
Populus nigra 3,Populus nigra,0.882,Host
Populus nigra 3,Populus nigra,0.888,Host
Populus nigra 3,Populus nigra,0.901,Host
Populus nigra 3,Populus nigra,0.902,Host
Populus nigra 3,Populus nigra,0.925,Host
Populus nigra 3,Populus nigra,0.972,Host
Populus nigra 3,Populus nigra,0.985,Host
Populus nigra 3,Populus nigra,0.998,Host
Populus nigra 3,Populus nigra,1.026,Host
Populus nigra 3,Populus nigra,1.113,Host
Populus nigra 3,Populus nigra,1.167,Host
Populus nigra 3,Populus nigra,1.167,Host
Populus nigra 3,Populus nigra,1.182,Host
Populus nigra 3,Populus nigra,1.182,Host
Populus nigra 3,Populus nigra,1.486,Host
Populus nigra 3,Populus nigra,1.62,Host
Psittacanthus robustus 1,Psittacanthus robustus,2.99871,Parasite
Psittacanthus robustus 1,Psittacanthus robustus,3.17317,Parasite
Psittacanthus robustus 1,Psittacanthus robustus,3.209635,Parasite
Psittacanthus robustus 1,Psittacanthus robustus,3.52924,Parasite
Psittacanthus robustus 1,Psittacanthus robustus,3.55355,Parasite
Psittacanthus robustus 1,Psittacanthus robustus,3.630055,Parasite
Psittacanthus robustus 1,Psittacanthus robustus,3.69083,Parasite
Psittacanthus robustus 1,Psittacanthus robustus,3.76519,Parasite
Psittacanthus robustus 1,Psittacanthus robustus,3.797365,Parasite
Psittacanthus robustus 1,Psittacanthus robustus,3.95395,Parasite
Psittacanthus robustus 1,Psittacanthus robustus,3.98255,Parasite
Psittacanthus robustus 1,Psittacanthus robustus,3.99399,Parasite
Psittacanthus robustus 1,Psittacanthus robustus,4.041895,Parasite
Psittacanthus robustus 1,Psittacanthus robustus,4.04976,Parasite
Psittacanthus robustus 1,Psittacanthus robustus,4.19991,Parasite
Psittacanthus robustus 1,Psittacanthus robustus,4.2042,Parasite
Psittacanthus robustus 1,Psittacanthus robustus,4.240665,Parasite
Psittacanthus robustus 1,Psittacanthus robustus,4.47018,Parasite
Psittacanthus robustus 1,Psittacanthus robustus,4.4759,Parasite
Psittacanthus robustus 1,Psittacanthus robustus,4.51737,Parasite
Psittacanthus robustus 1,Psittacanthus robustus,4.568135,Parasite
Psittacanthus robustus 1,Psittacanthus robustus,4.60031,Parasite
Psittacanthus robustus 1,Psittacanthus robustus,4.60746,Parasite
Psittacanthus robustus 1,Psittacanthus robustus,4.73044,Parasite
Psittacanthus robustus 1,Psittacanthus robustus,4.78335,Parasite
Psittacanthus robustus 1,Psittacanthus robustus,4.93064,Parasite
Psittacanthus robustus 1,Psittacanthus robustus,4.99642,Parasite
Psittacanthus robustus 1,Psittacanthus robustus,5.028595,Parasite
Psittacanthus robustus 1,Psittacanthus robustus,5.05505,Parasite
Psittacanthus robustus 1,Psittacanthus robustus,5.070065,Parasite
Psittacanthus robustus 2,Psittacanthus robustus,3.30044,Parasite
Psittacanthus robustus 2,Psittacanthus robustus,3.30759,Parasite
Psittacanthus robustus 2,Psittacanthus robustus,3.31903,Parasite
Psittacanthus robustus 2,Psittacanthus robustus,3.40483,Parasite
Psittacanthus robustus 2,Psittacanthus robustus,3.459885,Parasite
Psittacanthus robustus 2,Psittacanthus robustus,3.555695,Parasite
Psittacanthus robustus 2,Psittacanthus robustus,3.691545,Parasite
Psittacanthus robustus 2,Psittacanthus robustus,3.74803,Parasite
Psittacanthus robustus 2,Psittacanthus robustus,3.775915,Parasite
Psittacanthus robustus 2,Psittacanthus robustus,3.807375,Parasite
Psittacanthus robustus 2,Psittacanthus robustus,3.88531,Parasite
Psittacanthus robustus 2,Psittacanthus robustus,3.944655,Parasite
Psittacanthus robustus 2,Psittacanthus robustus,4.05119,Parasite
Psittacanthus robustus 2,Psittacanthus robustus,4.111965,Parasite
Psittacanthus robustus 2,Psittacanthus robustus,4.11411,Parasite
Psittacanthus robustus 2,Psittacanthus robustus,4.19419,Parasite
Psittacanthus robustus 2,Psittacanthus robustus,4.370795,Parasite
Psittacanthus robustus 2,Psittacanthus robustus,4.38581,Parasite
Psittacanthus robustus 2,Psittacanthus robustus,4.562415,Parasite
Psittacanthus robustus 2,Psittacanthus robustus,4.778345,Parasite
Psittacanthus robustus 2,Psittacanthus robustus,4.88488,Parasite
Psittacanthus robustus 2,Psittacanthus robustus,5.17803,Parasite
Psittacanthus robustus 2,Psittacanthus robustus,5.230225,Parasite
Psittacanthus robustus 2,Psittacanthus robustus,5.441865,Parasite
Psittacanthus robustus 2,Psittacanthus robustus,5.45688,Parasite
Psittacanthus robustus 2,Psittacanthus robustus,5.467605,Parasite
Psittacanthus robustus 2,Psittacanthus robustus,5.948085,Parasite
Psittacanthus robustus 2,Psittacanthus robustus,6.02459,Parasite
Psittacanthus robustus 2,Psittacanthus robustus,6.219785,Parasite
Psittacanthus robustus 2,Psittacanthus robustus,7.046325,Parasite
Psittacanthus robustus 3,Psittacanthus robustus,3.02588,Parasite
Psittacanthus robustus 3,Psittacanthus robustus,3.12884,Parasite
Psittacanthus robustus 3,Psittacanthus robustus,3.21035,Parasite
Psittacanthus robustus 3,Psittacanthus robustus,3.384095,Parasite
Psittacanthus robustus 3,Psittacanthus robustus,3.43343,Parasite
Psittacanthus robustus 3,Psittacanthus robustus,3.507075,Parasite
Psittacanthus robustus 3,Psittacanthus robustus,3.5178,Parasite
Psittacanthus robustus 3,Psittacanthus robustus,3.575715,Parasite
Psittacanthus robustus 3,Psittacanthus robustus,3.59788,Parasite
Psittacanthus robustus 3,Psittacanthus robustus,3.61933,Parasite
Psittacanthus robustus 3,Psittacanthus robustus,3.830255,Parasite
Psittacanthus robustus 3,Psittacanthus robustus,3.878875,Parasite
Psittacanthus robustus 3,Psittacanthus robustus,3.89675,Parasite
Psittacanthus robustus 3,Psittacanthus robustus,3.90962,Parasite
Psittacanthus robustus 3,Psittacanthus robustus,3.96253,Parasite
Psittacanthus robustus 3,Psittacanthus robustus,3.981835,Parasite
Psittacanthus robustus 3,Psittacanthus robustus,3.99828,Parasite
Psittacanthus robustus 3,Psittacanthus robustus,4.066205,Parasite
Psittacanthus robustus 3,Psittacanthus robustus,4.06978,Parasite
Psittacanthus robustus 3,Psittacanthus robustus,4.16988,Parasite
Psittacanthus robustus 3,Psittacanthus robustus,4.31717,Parasite
Psittacanthus robustus 3,Psittacanthus robustus,4.422275,Parasite
Psittacanthus robustus 3,Psittacanthus robustus,4.425135,Parasite
Psittacanthus robustus 3,Psittacanthus robustus,4.430855,Parasite
Psittacanthus robustus 3,Psittacanthus robustus,4.766905,Parasite
Psittacanthus robustus 3,Psittacanthus robustus,4.79479,Parasite
Psittacanthus robustus 3,Psittacanthus robustus,5.171595,Parasite
Psittacanthus robustus 3,Psittacanthus robustus,5.36679,Parasite
Psittacanthus robustus 3,Psittacanthus robustus,5.80437,Parasite
Psittacanthus robustus 3,Psittacanthus robustus,6.307015,Parasite
Struthanthus rhynchophyllus 1,Struthanthus rhynchophyllus,2.99871,Parasite
Struthanthus rhynchophyllus 1,Struthanthus rhynchophyllus,3.099525,Parasite
Struthanthus rhynchophyllus 1,Struthanthus rhynchophyllus,3.17317,Parasite
Struthanthus rhynchophyllus 1,Struthanthus rhynchophyllus,3.1889,Parasite
Struthanthus rhynchophyllus 1,Struthanthus rhynchophyllus,3.196765,Parasite
Struthanthus rhynchophyllus 1,Struthanthus rhynchophyllus,3.21893,Parasite
Struthanthus rhynchophyllus 1,Struthanthus rhynchophyllus,3.268265,Parasite
Struthanthus rhynchophyllus 1,Struthanthus rhynchophyllus,3.29329,Parasite
Struthanthus rhynchophyllus 1,Struthanthus rhynchophyllus,3.382665,Parasite
Struthanthus rhynchophyllus 1,Struthanthus rhynchophyllus,3.39625,Parasite
Struthanthus rhynchophyllus 1,Struthanthus rhynchophyllus,3.432715,Parasite
Struthanthus rhynchophyllus 1,Struthanthus rhynchophyllus,3.50922,Parasite
Struthanthus rhynchophyllus 1,Struthanthus rhynchophyllus,3.528525,Parasite
Struthanthus rhynchophyllus 1,Struthanthus rhynchophyllus,3.559985,Parasite
Struthanthus rhynchophyllus 1,Struthanthus rhynchophyllus,3.56928,Parasite
Struthanthus rhynchophyllus 1,Struthanthus rhynchophyllus,3.577145,Parasite
Struthanthus rhynchophyllus 1,Struthanthus rhynchophyllus,3.61504,Parasite
Struthanthus rhynchophyllus 1,Struthanthus rhynchophyllus,3.75804,Parasite
Struthanthus rhynchophyllus 1,Struthanthus rhynchophyllus,3.821675,Parasite
Struthanthus rhynchophyllus 1,Struthanthus rhynchophyllus,3.8467,Parasite
Struthanthus rhynchophyllus 1,Struthanthus rhynchophyllus,3.857425,Parasite
Struthanthus rhynchophyllus 1,Struthanthus rhynchophyllus,4.01973,Parasite
Struthanthus rhynchophyllus 1,Struthanthus rhynchophyllus,4.203485,Parasite
Struthanthus rhynchophyllus 1,Struthanthus rhynchophyllus,4.26998,Parasite
Struthanthus rhynchophyllus 1,Struthanthus rhynchophyllus,4.347915,Parasite
Struthanthus rhynchophyllus 1,Struthanthus rhynchophyllus,4.363645,Parasite
Struthanthus rhynchophyllus 1,Struthanthus rhynchophyllus,4.389385,Parasite
Struthanthus rhynchophyllus 1,Struthanthus rhynchophyllus,4.492345,Parasite
Struthanthus rhynchophyllus 1,Struthanthus rhynchophyllus,5.16802,Parasite
Struthanthus rhynchophyllus 1,Struthanthus rhynchophyllus,5.959525,Parasite
Struthanthus rhynchophyllus 2,Struthanthus rhynchophyllus,6.57085,Parasite
Struthanthus rhynchophyllus 2,Struthanthus rhynchophyllus,7.17145,Parasite
Struthanthus rhynchophyllus 2,Struthanthus rhynchophyllus,3.62505,Parasite
Struthanthus rhynchophyllus 2,Struthanthus rhynchophyllus,3.82668,Parasite
Struthanthus rhynchophyllus 2,Struthanthus rhynchophyllus,3.85385,Parasite
Struthanthus rhynchophyllus 2,Struthanthus rhynchophyllus,4.0469,Parasite
Struthanthus rhynchophyllus 2,Struthanthus rhynchophyllus,4.06406,Parasite
Struthanthus rhynchophyllus 2,Struthanthus rhynchophyllus,4.107675,Parasite
Struthanthus rhynchophyllus 2,Struthanthus rhynchophyllus,4.32146,Parasite
Struthanthus rhynchophyllus 2,Struthanthus rhynchophyllus,4.43443,Parasite
Struthanthus rhynchophyllus 2,Struthanthus rhynchophyllus,4.558125,Parasite
Struthanthus rhynchophyllus 2,Struthanthus rhynchophyllus,4.633915,Parasite
Struthanthus rhynchophyllus 2,Struthanthus rhynchophyllus,4.673955,Parasite
Struthanthus rhynchophyllus 2,Struthanthus rhynchophyllus,4.734015,Parasite
Struthanthus rhynchophyllus 2,Struthanthus rhynchophyllus,4.862,Parasite
Struthanthus rhynchophyllus 2,Struthanthus rhynchophyllus,4.877015,Parasite
Struthanthus rhynchophyllus 2,Struthanthus rhynchophyllus,5.002855,Parasite
Struthanthus rhynchophyllus 2,Struthanthus rhynchophyllus,5.021445,Parasite
Struthanthus rhynchophyllus 2,Struthanthus rhynchophyllus,5.05791,Parasite
Struthanthus rhynchophyllus 2,Struthanthus rhynchophyllus,5.107245,Parasite
Struthanthus rhynchophyllus 2,Struthanthus rhynchophyllus,5.12655,Parasite
Struthanthus rhynchophyllus 2,Struthanthus rhynchophyllus,5.14085,Parasite
Struthanthus rhynchophyllus 2,Struthanthus rhynchophyllus,5.23523,Parasite
Struthanthus rhynchophyllus 2,Struthanthus rhynchophyllus,5.45116,Parasite
Struthanthus rhynchophyllus 2,Struthanthus rhynchophyllus,5.50121,Parasite
Struthanthus rhynchophyllus 2,Struthanthus rhynchophyllus,5.69283,Parasite
Struthanthus rhynchophyllus 2,Struthanthus rhynchophyllus,5.76147,Parasite
Struthanthus rhynchophyllus 2,Struthanthus rhynchophyllus,5.780775,Parasite
Struthanthus rhynchophyllus 2,Struthanthus rhynchophyllus,6.25911,Parasite
Struthanthus rhynchophyllus 2,Struthanthus rhynchophyllus,7.468175,Parasite
Struthanthus rhynchophyllus 3,Struthanthus rhynchophyllus,2.19648,Parasite
Struthanthus rhynchophyllus 3,Struthanthus rhynchophyllus,3.4177,Parasite
Struthanthus rhynchophyllus 3,Struthanthus rhynchophyllus,3.723005,Parasite
Struthanthus rhynchophyllus 3,Struthanthus rhynchophyllus,3.90819,Parasite
Struthanthus rhynchophyllus 3,Struthanthus rhynchophyllus,3.93536,Parasite
Struthanthus rhynchophyllus 3,Struthanthus rhynchophyllus,4.01544,Parasite
Struthanthus rhynchophyllus 3,Struthanthus rhynchophyllus,4.07407,Parasite
Struthanthus rhynchophyllus 3,Struthanthus rhynchophyllus,4.120545,Parasite
Struthanthus rhynchophyllus 3,Struthanthus rhynchophyllus,4.220645,Parasite
Struthanthus rhynchophyllus 3,Struthanthus rhynchophyllus,4.272125,Parasite
Struthanthus rhynchophyllus 3,Struthanthus rhynchophyllus,4.38152,Parasite
Struthanthus rhynchophyllus 3,Struthanthus rhynchophyllus,4.40011,Parasite
Struthanthus rhynchophyllus 3,Struthanthus rhynchophyllus,4.40154,Parasite
Struthanthus rhynchophyllus 3,Struthanthus rhynchophyllus,4.416555,Parasite
Struthanthus rhynchophyllus 3,Struthanthus rhynchophyllus,4.422275,Parasite
Struthanthus rhynchophyllus 3,Struthanthus rhynchophyllus,4.422275,Parasite
Struthanthus rhynchophyllus 3,Struthanthus rhynchophyllus,4.44158,Parasite
Struthanthus rhynchophyllus 3,Struthanthus rhynchophyllus,4.463745,Parasite
Struthanthus rhynchophyllus 3,Struthanthus rhynchophyllus,4.463745,Parasite
Struthanthus rhynchophyllus 3,Struthanthus rhynchophyllus,4.47733,Parasite
Struthanthus rhynchophyllus 3,Struthanthus rhynchophyllus,4.52452,Parasite
Struthanthus rhynchophyllus 3,Struthanthus rhynchophyllus,4.578145,Parasite
Struthanthus rhynchophyllus 3,Struthanthus rhynchophyllus,4.599595,Parasite
Struthanthus rhynchophyllus 3,Struthanthus rhynchophyllus,4.71757,Parasite
Struthanthus rhynchophyllus 3,Struthanthus rhynchophyllus,4.75189,Parasite
Struthanthus rhynchophyllus 3,Struthanthus rhynchophyllus,4.849845,Parasite
Struthanthus rhynchophyllus 3,Struthanthus rhynchophyllus,4.851275,Parasite
Struthanthus rhynchophyllus 3,Struthanthus rhynchophyllus,4.9907,Parasite
Struthanthus rhynchophyllus 3,Struthanthus rhynchophyllus,5.05791,Parasite
Struthanthus rhynchophyllus 3,Struthanthus rhynchophyllus,5.9345,Parasite
Tapirira guianensis 1,Tapirira guianensis,3.269695,Host
Tapirira guianensis 1,Tapirira guianensis,3.3176,Host
Tapirira guianensis 1,Tapirira guianensis,3.45059,Host
Tapirira guianensis 1,Tapirira guianensis,3.517085,Host
Tapirira guianensis 1,Tapirira guianensis,3.85671,Host
Tapirira guianensis 1,Tapirira guianensis,3.86386,Host
Tapirira guianensis 1,Tapirira guianensis,3.86529,Host
Tapirira guianensis 1,Tapirira guianensis,4.01544,Host
Tapirira guianensis 1,Tapirira guianensis,4.033315,Host
Tapirira guianensis 1,Tapirira guianensis,4.07407,Host
Tapirira guianensis 1,Tapirira guianensis,4.144855,Host
Tapirira guianensis 1,Tapirira guianensis,4.15272,Host
Tapirira guianensis 1,Tapirira guianensis,4.277845,Host
Tapirira guianensis 1,Tapirira guianensis,4.39868,Host
Tapirira guianensis 1,Tapirira guianensis,4.44158,Host
Tapirira guianensis 1,Tapirira guianensis,4.52595,Host
Tapirira guianensis 1,Tapirira guianensis,4.52738,Host
Tapirira guianensis 1,Tapirira guianensis,4.52881,Host
Tapirira guianensis 1,Tapirira guianensis,4.543825,Host
Tapirira guianensis 1,Tapirira guianensis,4.75189,Host
Tapirira guianensis 1,Tapirira guianensis,5.00214,Host
Tapirira guianensis 1,Tapirira guianensis,5.16945,Host
Tapirira guianensis 1,Tapirira guianensis,5.25239,Host
Tapirira guianensis 1,Tapirira guianensis,5.27384,Host
Tapirira guianensis 1,Tapirira guianensis,5.52838,Host
Tapirira guianensis 1,Tapirira guianensis,5.61132,Host
Tapirira guianensis 1,Tapirira guianensis,5.77291,Host
Tapirira guianensis 1,Tapirira guianensis,5.803655,Host
Tapirira guianensis 1,Tapirira guianensis,6.128265,Host
Tapirira guianensis 1,Tapirira guianensis,6.143995,Host
Tapirira guianensis 2,Tapirira guianensis,5.11225,Host
Tapirira guianensis 2,Tapirira guianensis,3.19605,Host
Tapirira guianensis 2,Tapirira guianensis,3.45488,Host
Tapirira guianensis 2,Tapirira guianensis,3.611465,Host
Tapirira guianensis 2,Tapirira guianensis,3.707275,Host
Tapirira guianensis 2,Tapirira guianensis,3.805945,Host
Tapirira guianensis 2,Tapirira guianensis,3.82668,Host
Tapirira guianensis 2,Tapirira guianensis,3.83812,Host
Tapirira guianensis 2,Tapirira guianensis,3.894605,Host
Tapirira guianensis 2,Tapirira guianensis,3.95252,Host
Tapirira guianensis 2,Tapirira guianensis,4.05262,Host
Tapirira guianensis 2,Tapirira guianensis,4.080505,Host
Tapirira guianensis 2,Tapirira guianensis,4.16416,Host
Tapirira guianensis 2,Tapirira guianensis,4.19562,Host
Tapirira guianensis 2,Tapirira guianensis,4.232085,Host
Tapirira guianensis 2,Tapirira guianensis,4.3329,Host
Tapirira guianensis 2,Tapirira guianensis,4.45302,Host
Tapirira guianensis 2,Tapirira guianensis,4.48305,Host
Tapirira guianensis 2,Tapirira guianensis,4.49306,Host
Tapirira guianensis 2,Tapirira guianensis,4.53453,Host
Tapirira guianensis 2,Tapirira guianensis,4.55455,Host
Tapirira guianensis 2,Tapirira guianensis,4.570995,Host
Tapirira guianensis 2,Tapirira guianensis,4.61747,Host
Tapirira guianensis 2,Tapirira guianensis,4.685395,Host
Tapirira guianensis 2,Tapirira guianensis,4.725435,Host
Tapirira guianensis 2,Tapirira guianensis,5.060055,Host
Tapirira guianensis 2,Tapirira guianensis,5.244525,Host
Tapirira guianensis 2,Tapirira guianensis,5.52838,Host
Tapirira guianensis 2,Tapirira guianensis,5.656365,Host
Tapirira guianensis 2,Tapirira guianensis,6.05319,Host
