Label,ssp,indiv,HydraulicDiameter,VesselDensity,VesselFraction,Kmax,parasitism
Psittacanthus robustus 1 - GC 4842 x5 009.tif,Psittacanthus robustus,Psittacanthus robustus 1,95.6496560813322,20.0973497358041,5.55,41.1303294807629,Parasite
Psittacanthus robustus 1 - GC 4842 x5 010.tif,Psittacanthus robustus,Psittacanthus robustus 1,94.226424477629,23.3656462219012,6.24,45.0358527484626,Parasite
Psittacanthus robustus 1 - GC 4842 x5 011.tif,Psittacanthus robustus,Psittacanthus robustus 1,97.817336912132,20.5337270713637,5.89,45.9643234353029,Parasite
Psittacanthus robustus 2 - GC4842 x5 001-1.tif,Psittacanthus robustus,Psittacanthus robustus 2,86.8721133202261,21.3534631878689,4.77,29.7357991204083,Parasite
Psittacanthus robustus 2 - GC4842 x5 002-1.tif,Psittacanthus robustus,Psittacanthus robustus 2,102.962469833382,15.2744041207937,4.93,41.9729825502248,Parasite
Psittacanthus robustus 2 - GC4842 x5 003-1.tif,Psittacanthus robustus,Psittacanthus robustus 2,89.6567990298694,18.669040223108,4.52,29.4947457019904,Parasite
Psittacanthus robustus 2 - GC4842 x5 004-1.tif,Psittacanthus robustus,Psittacanthus robustus 2,88.4829649139878,17.5656355353249,4.07,26.3264488327414,Parasite
Psittacanthus robustus 2 - GC4842 x5 005-1.tif,Psittacanthus robustus,Psittacanthus robustus 2,93.4630188232195,14.2448391398915,3.73,26.5770341394337,Parasite
Psittacanthus robustus 2 - GC4842 x5 006-1.tif,Psittacanthus robustus,Psittacanthus robustus 2,99.4908540059542,18.0016492540678,5.41,43.1255530616466,Parasite
Psittacanthus robustus 2 - GC4842 x5 007-1.tif,Psittacanthus robustus,Psittacanthus robustus 2,96.4531141797288,20.8152942119398,5.83,44.0491282389902,Parasite
Psittacanthus robustus 2 - GC4842 x5 008-1.tif,Psittacanthus robustus,Psittacanthus robustus 2,83.7021331071074,31.0571977736522,7.1,37.2733234776012,Parasite
Psittacanthus robustus 2 - GC4842 x5 009-1.tif,Psittacanthus robustus,Psittacanthus robustus 2,100.139480615005,27.2408702016943,8.47,66.9779825720205,Parasite
