ssp,indiv,pic,Area,Circ.,X.Area,AR,Round,Solidity,VesselDiameter
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 009-1.tif,2448.44415,0.821,98.892,1.277,0.783,0.961,55.8341823156341
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 009-1.tif,1694.7514,0.625,98.549,2.258,0.443,0.942,46.4523896153393
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 009-1.tif,1682.8819,0.781,97.229,1.278,0.783,0.958,46.2894349090486
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 009-1.tif,1293.7427,0.753,97.903,1.45,0.69,0.947,40.5862583438341
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 009-1.tif,1526.03845,0.751,100,1.434,0.697,0.938,44.0796154852371
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 009-1.tif,1456.51885,0.712,99.418,1.35,0.741,0.892,43.0638757832151
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 009-1.tif,510.3762,0.755,100,1.557,0.642,0.947,25.4917861385126
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 009-1.tif,911.3849,0.816,100,1.237,0.808,0.965,34.0648102175031
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 009-1.tif,477.31175,0.487,99.645,2.448,0.408,0.94,24.6522249557062
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 008-1.tif,1989.78535,0.754,98.509,1.733,0.577,0.949,50.3336209024812
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 008-1.tif,1140.28995,0.901,100,1.386,0.722,0.969,38.1033103129385
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 008-1.tif,336.5772,0.936,100,1.26,0.794,0.953,20.7012898365352
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 008-1.tif,586.6772,0.797,100,1.701,0.588,0.936,27.3309460325562
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 008-1.tif,2495.07345,0.796,99.898,1.448,0.691,0.967,56.3633407771292
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 008-1.tif,790.14995,0.79,100,1.483,0.674,0.954,31.7182938161956
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 008-1.tif,534.96185,0.869,99.366,1.43,0.699,0.951,26.0985551773404
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 008-1.tif,493.4186,0.874,100,1.137,0.88,0.941,25.0647177049306
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 008-1.tif,1031.77115,0.846,98.274,1.453,0.688,0.966,36.2448869400482
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 008-1.tif,1494.66935,0.792,99.319,1.843,0.542,0.967,43.6242148665578
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 008-1.tif,909.68955,0.758,100,1.65,0.606,0.966,34.0331119425235
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 008-1.tif,689.26125,0.85,100,1.656,0.604,0.962,29.6242245494053
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 008-1.tif,1139.4433,0.89,99.777,1.202,0.832,0.955,38.0891620877059
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 008-1.tif,2615.46175,0.705,100,2.204,0.454,0.969,57.707099457885
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 008-1.tif,550.22205,0.824,100,1.689,0.592,0.949,26.4681784874828
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 008-1.tif,1832.9419,0.657,100,2.384,0.419,0.94,48.3091514133917
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 008-1.tif,846.1047,0.846,100,1.053,0.95,0.957,32.8221565870721
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 008-1.tif,2425.55385,0.768,98.847,1.899,0.527,0.968,55.5725748882002
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 008-1.tif,734.1952,0.704,100,1.72,0.581,0.942,30.5746032221964
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 008-1.tif,1255.59015,0.859,98.109,1.19,0.841,0.96,39.983334415228
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 008-1.tif,896.1247,0.79,99.338,1.613,0.62,0.957,33.7784162602976
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 008-1.tif,540.0479,0.505,100,2.716,0.368,0.94,26.2223252655286
