ssp,pcd,Tpm,parasitism
Tapirira guianensis,1019,308.2,Host
Tapirira guianensis,588,294.6,Host
Tapirira guianensis,1030,313.2,Host
Tapirira guianensis,608,374.2,Host
Tapirira guianensis,951,353.6,Host
Tapirira guianensis,860,337.6,Host
Tapirira guianensis,631,448.8,Host
Tapirira guianensis,1286,328.8,Host
Tapirira guianensis,1268,309.4,Host
Tapirira guianensis,1480,350.6,Host
Tapirira guianensis,699,358.4,Host
Tapirira guianensis,1431,330.2,Host
Tapirira guianensis,867,314.6,Host
Tapirira guianensis,685,362.4,Host
Tapirira guianensis,1179,259,Host
Tipuana tipu,466,349.4,Host
Tipuana tipu,481,418.2,Host
Tipuana tipu,649,342,Host
Tipuana tipu,895,336.8,Host
Tipuana tipu,742,350,Host
Tipuana tipu,1031,366.6,Host
Tipuana tipu,366,425.6,Host
Tipuana tipu,422,461,Host
Tipuana tipu,623,407,Host
Tipuana tipu,267,307.4,Host
Tipuana tipu,360,306,Host
Tipuana tipu,869,311.6,Host
Tipuana tipu,434,289.2,Host
Tipuana tipu,435,322.6,Host
Tipuana tipu,781,314.4,Host
Tipuana tipu,796,269.4,Host
Tipuana tipu,420,427,Host
Tipuana tipu,606,373.2,Host
Tipuana tipu,419,257.8,Host
Tipuana tipu,967,462.8,Host
Tipuana tipu,893,238.2,Host
Tipuana tipu,1253,374,Host
Tipuana tipu,876,321,Host
Tipuana tipu,1050,437.8,Host
Tipuana tipu,1110,356.2,Host
Tipuana tipu,777,387.4,Host
Tipuana tipu,813,323.8,Host
Tipuana tipu,1422,338,Host
Tipuana tipu,1544,,Host
Tipuana tipu,1600,,Host
Struthanthus rhynchophyllus,618,730.4,Parasite
Struthanthus rhynchophyllus,507,727.2,Parasite
Struthanthus rhynchophyllus,467,691.4,Parasite
Struthanthus rhynchophyllus,605,675.4,Parasite
Struthanthus rhynchophyllus,573,659.4,Parasite
Struthanthus rhynchophyllus,678,618,Parasite
Struthanthus rhynchophyllus,552,787.8,Parasite
Struthanthus rhynchophyllus,422,853,Parasite
Struthanthus rhynchophyllus,500,881.4,Parasite
Struthanthus rhynchophyllus,514,803,Parasite
Struthanthus rhynchophyllus,335,746.6,Parasite
Struthanthus rhynchophyllus,300,706.8,Parasite
Struthanthus rhynchophyllus,346,779.4,Parasite
Struthanthus rhynchophyllus,380,960,Parasite
Struthanthus rhynchophyllus,512,808.2,Parasite
Struthanthus rhynchophyllus,503,838,Parasite
Struthanthus rhynchophyllus,469,1021.4,Parasite
Struthanthus rhynchophyllus,447,904.4,Parasite
Struthanthus rhynchophyllus,583,814.4,Parasite
Struthanthus rhynchophyllus,474,678.8,Parasite
Struthanthus rhynchophyllus,537,888.6,Parasite
Struthanthus rhynchophyllus,427,718.8,Parasite
Struthanthus rhynchophyllus,360,715.8,Parasite
Struthanthus rhynchophyllus,785,775.8,Parasite
Struthanthus rhynchophyllus,560,777.8,Parasite
Struthanthus rhynchophyllus,505,674.4,Parasite
Struthanthus rhynchophyllus,594,637.4,Parasite
Struthanthus rhynchophyllus,372,,Parasite
Struthanthus rhynchophyllus,434,,Parasite
Struthanthus rhynchophyllus,545,,Parasite
Viscum album,380,531.4,Parasite
Viscum album,213,807.6,Parasite
Viscum album,158,522.2,Parasite
Viscum album,238,525.6,Parasite
Viscum album,294,537,Parasite
Viscum album,284,549.2,Parasite
Viscum album,271,488.2,Parasite
Viscum album,285,546.2,Parasite
Viscum album,328,541,Parasite
Viscum album,348,562.2,Parasite
Viscum album,213,433.8,Parasite
Viscum album,311,393,Parasite
Viscum album,407,358.2,Parasite
Viscum album,240,501.4,Parasite
Viscum album,224,535.4,Parasite
Viscum album,302,516.4,Parasite
Viscum album,359,393.2,Parasite
Viscum album,241,458,Parasite
Viscum album,176,579.4,Parasite
Viscum album,199,769.2,Parasite
Viscum album,186,770.6,Parasite
Viscum album,296,701,Parasite
Viscum album,240,498.2,Parasite
Viscum album,314,564.8,Parasite
Viscum album,292,604.6,Parasite
Viscum album,170,609.2,Parasite
Viscum album,149,569,Parasite
Viscum album,290,788.2,Parasite
Viscum album,373,452.4,Parasite
Viscum album,272,520.2,Parasite
Populus nigra,469,179.8,Host
Populus nigra,610,169.2,Host
Populus nigra,1211,272.6,Host
Populus nigra,556,309.8,Host
Populus nigra,1048,291.2,Host
Populus nigra,1339,271.4,Host
Populus nigra,709,238.2,Host
Populus nigra,381,289.6,Host
Populus nigra,514,236.6,Host
Populus nigra,757,185.2,Host
Populus nigra,585,200.2,Host
Populus nigra,558,199.6,Host
Populus nigra,765,215.6,Host
Populus nigra,918,171.8,Host
Populus nigra,842,223.4,Host
Populus nigra,441,201,Host
Populus nigra,598,352,Host
Populus nigra,634,189.8,Host
Populus nigra,927,237.6,Host
Populus nigra,716,211.8,Host
Populus nigra,720,252.4,Host
Populus nigra,875,257,Host
Populus nigra,634,216.8,Host
Populus nigra,596,211.8,Host
Populus nigra,454,171,Host
Populus nigra,514,162.4,Host
Populus nigra,372,215,Host
Populus nigra,483,,Host
Populus nigra,840,,Host
Populus nigra,735,,Host
