ssp,indiv,pic,Count,Total.Area,Average.Size,X.Area,Circ.,Solidity,vdensity,parasitism
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 2,Struthanthus rhynchophyllus - VSB26 x10 011-1.tif,76,53995.4215,346.569,5.59,0.59,0.833,78.6807451813299,Parasite
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 3,Struthanthus rhynchophyllus - VSB27 x10 006-1.tif,76,60004.43275,385.138,6.212,0.633,0.885,78.6795205559209,Parasite
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 3,Struthanthus rhynchophyllus - VSB27 x10 007-1.tif,68,67471.38965,484.013,6.985,0.689,0.915,70.3972457754174,Parasite
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 3,Struthanthus rhynchophyllus - VSB27 x10 008-1.tif,78,80273.83645,502.025,8.31,0.656,0.901,80.7461096497775,Parasite
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 3,Struthanthus rhynchophyllus - VSB27 x10 009-1.tif,52,43295.71915,406.151,4.482,0.744,0.913,53.8307261261879,Parasite
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 3,Struthanthus rhynchophyllus - VSB27 x10 010-1.tif,72,65490.0995,443.7,6.78,0.802,0.947,74.5395111210665,Parasite
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 3,Struthanthus rhynchophyllus - VSB27 x10 001-1.tif,32,30558.12,465.825,3.163,0.768,0.938,33.1224564861975,Parasite
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 3,Struthanthus rhynchophyllus - VSB27 x10 002-1.tif,47,26821.65675,278.377,2.777,0.463,0.73,48.6617964045044,Parasite
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 3,Struthanthus rhynchophyllus - VSB27 x10 003-1.tif,55,50957.2231,451.949,5.275,0.692,0.897,56.9350098671291,Parasite
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 3,Struthanthus rhynchophyllus - VSB27 x10 004-1.tif,56,44514.1879,387.754,4.608,0.589,0.882,57.9698321307576,Parasite
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 3,Struthanthus rhynchophyllus - VSB27 x10 005-1.tif,57,61147.81205,523.302,6.33,0.713,0.925,59.0061995521555,Parasite
Tapirira guianensis,Tapirira guianensis 1,Tapirira guianensis1 - GC4841 x5 002-1.tif,116,580583.0051,2441.476,16.282,0.778,0.93,32.5313001484549,Host
Tapirira guianensis,Tapirira guianensis 1,Tapirira guianensis1 - GC4841 x5 003-1.tif,89,364003.54525,1995.087,10.208,0.792,0.937,24.9588777871938,Host
Tapirira guianensis,Tapirira guianensis 1,Tapirira guianensis1 - GC4841 x5 004-1.tif,106,394969.2442,1817.622,11.077,0.794,0.935,29.7279349529667,Host
Tapirira guianensis,Tapirira guianensis 1,Tapirira guianensis1 - GC4841 x5 005-1.tif,155,625550.66735,1968.688,17.543,0.75,0.925,43.4683414457715,Host
Tapirira guianensis,Tapirira guianensis 1,Tapirira guianensis1 - GC4841 x5 006-1.tif,147,554087.1774,1838.683,15.539,0.771,0.931,41.2251554117989,Host
Tapirira guianensis,Tapirira guianensis 1,Tapirira guianensis1 - GC4841 x5 007-1.tif,160,592225.7751,1805.566,16.609,0.766,0.93,44.8720760178207,Host
Tapirira guianensis,Tapirira guianensis 1,Tapirira guianensis1 - GC4841 x5 008-1.tif,169,607718.8387,1754.131,17.043,0.773,0.933,47.394729545678,Host
Tapirira guianensis,Tapirira guianensis 1,Tapirira guianensis1 - GC4841 x5 009-1.tif,118,502685.34415,2078.071,14.098,0.768,0.937,33.093544885677,Host
Tapirira guianensis,Tapirira guianensis 1,Tapirira guianensis1 - GC4841 x5 010-1.tif,121,471777.5167,1901.945,13.231,0.775,0.936,33.9344488308465,Host
