"","indiv_tested","difference_observed","CI95","pvalue","Rdiff","trait"
"mean of x...112","Phoradendron perrotettii 1 vs Tapirira guianensis 1",-3.617,"(-4.18, -3.06)","<0.0001",-43.049,"PitDiameter"
"mean of x...113","Phoradendron perrotettii 2 vs Tapirira guianensis 2",-2.081,"(-2.38, -1.78)","<0.0001",-34.192,"PitDiameter"
"mean of x...114","Phoradendron perrotettii 3 vs Tapirira guianensis 3",-3.471,"(-3.79, -3.15)","<0.0001",-44.158,"PitDiameter"
"mean of x...115","Struthanthus rhynchophyllus 1 vs Tipuana tipu 1",-2.057,"(-2.31, -1.8)","<0.0001",-27.812,"PitDiameter"
"mean of x...116","Struthanthus rhynchophyllus 2 vs Tipuana tipu 2",-3.225,"(-3.58, -2.88)","<0.0001",-37.762,"PitDiameter"
"mean of x...117","Struthanthus rhynchophyllus 3 vs Tipuana tipu 3",-2.076,"(-2.43, -1.72)","<0.0001",-30.766,"PitDiameter"
"mean of x...118","Viscum album 1 vs Populus nigra 1",-2.914,"(-3.34, -2.49)","<0.0001",-41.656,"PitDiameter"
"mean of x...119","Viscum album 2 vs Populus nigra 2",-4.635,"(-4.98, -4.29)","<0.0001",-55.854,"PitDiameter"
"mean of x...120","Viscum album 3 vs Populus nigra 3",-4.198,"(-4.51, -3.88)","<0.0001",-53.528,"PitDiameter"
"mean of x...121","Psittacanthus robustus 1 vs Vochysia thyrsoidea 1",-291.724,"(-460.8, -122.65)","0.00103",-25.994,"pcd"
"mean of x...122","Phoradendron perrotettii 1 vs Tapirira guianensis 1",-443.367,"(-559.62, -327.11)","<0.0001",-44.66,"pcd"
"mean of x...123","Struthanthus rhynchophyllus 1 vs Tipuana tipu 1",-282.1,"(-420.68, -143.52)","0.00022",-36.218,"pcd"
"mean of x...124","Viscum album 1 vs Populus nigra 1",-424.933,"(-514.85, -335.02)","<0.0001",-61.286,"pcd"
"mean of x...125","Psittacanthus robustus 1 vs Vochysia thyrsoidea 1",285.111,"(235.53, 334.69)","<0.0001",84.072,"Tpm"
"mean of x...126","Phoradendron perrotettii 1 vs Tapirira guianensis 1",141.167,"(110.42, 171.91)","<0.0001",43.759,"Tpm"
"mean of x...127","Struthanthus rhynchophyllus 1 vs Tipuana tipu 1",420.439,"(375.54, 465.34)","<0.0001",119.22,"Tpm"
"mean of x...128","Viscum album 1 vs Populus nigra 1",327.086,"(280.94, 373.23)","<0.0001",144.001,"Tpm"
