ssp;label;pic;Count;Total Area;Average Size;%Area;Circ.;Solidity
Psittacanthus robustus;Psittacanthus robustus 3;Psittacanthus robustus 3 - GC 4842 x5 012-1.tif;80;118217.93;1.477.724;5.294;0.759;0.946
Psittacanthus robustus;Psittacanthus robustus 3;Psittacanthus robustus 3 - GC 4842 x5 001-1.tif;57;88480775;1.552.294;3.962;0.823;0.952
Psittacanthus robustus;Psittacanthus robustus 3;Psittacanthus robustus 3 - GC 4842 x5 002-1.tif;66;104632.2;1.585.336;4.686;0.825;0.952
Psittacanthus robustus;Psittacanthus robustus 3;Psittacanthus robustus 3 - GC 4842 x5 003-1.tif;66;104771694;1587.45;4.692;0.815;0.95
Psittacanthus robustus;Psittacanthus robustus 3;Psittacanthus robustus 3 - GC 4842 x5 004-1.tif;57;86056236;1.509.759;3.854;0.827;0.952
Psittacanthus robustus;Psittacanthus robustus 3;Psittacanthus robustus 3 - GC 4842 x5 005-1.tif;53;72316067;1.364.454;3.238;0.802;0.949
Struthanthus rhynchophyllus;Struthanthus rhynchophyllus 1;Struthanthus rhynchophyllus - VSB25 x10 006-1.tif;60;40206036;670.101;8.532;0.811;0.956
Struthanthus rhynchophyllus;Struthanthus rhynchophyllus 1;Struthanthus rhynchophyllus - VSB25 x10 007-1.tif;62;36239.75;584.512;7.691;0.851;0.962
Struthanthus rhynchophyllus;Struthanthus rhynchophyllus 1;Struthanthus rhynchophyllus - VSB25 x10 008-1.tif;71;34295942;483.041;7.278;0.793;0.95
Struthanthus rhynchophyllus;Struthanthus rhynchophyllus 1;Struthanthus rhynchophyllus - VSB25 x10 009-1.tif;65;38707.18;595.495;8.214;0.793;0.95
Struthanthus rhynchophyllus;Struthanthus rhynchophyllus 1;Struthanthus rhynchophyllus - VSB25 x10 010-1.tif;62;27312799;440.529;5.796;0.759;0.937
Struthanthus rhynchophyllus;Struthanthus rhynchophyllus 1;Struthanthus rhynchophyllus - VSB25 x10 001-1.tif;52;28658897;551.133;6.082;0.839;0.956
Struthanthus rhynchophyllus;Struthanthus rhynchophyllus 1;Struthanthus rhynchophyllus - VSB25 x10 002-1.tif;53;30499896;575.47;6.473;0.795;0.944
Struthanthus rhynchophyllus;Struthanthus rhynchophyllus 1;Struthanthus rhynchophyllus - VSB25 x10 003-1.tif;55;30214.36;549.352;6.412;0.85;0.961
Struthanthus rhynchophyllus;Struthanthus rhynchophyllus 1;Struthanthus rhynchophyllus - VSB25 x10 004-1.tif;75;31749428;423.326;6.738;0.771;0.91
Struthanthus rhynchophyllus;Struthanthus rhynchophyllus 1;Struthanthus rhynchophyllus - VSB25 x10 005-1.tif;44;23657.44;537.669;5.02;0.834;0.947
Struthanthus rhynchophyllus;Struthanthus rhynchophyllus 2;Struthanthus rhynchophyllus - VSB26 x10 001-1.tif;87;40346306;463.751;8.562;0.806;0.942
